model,k,S,seed,auroc,bal_acc,pos_rate,dt_cv,seconds
selective,6,8,1,0.7694321345720601,0.7009823492285177,0.04093143716454506,0.011426444165408611,101.79181122779846
selective,6,8,2,0.7352563468501392,0.6710721108280258,0.04166385903954506,0.015749650076031685,97.21059083938599
selective,6,12,0,0.8369316209616077,0.7587839436010044,0.04317079856991768,,70.16325545310974
selective,6,12,1,0.9663790977352269,0.9292671443322509,0.04093143716454506,0.016705812886357307,109.96598100662231
selective,6,12,2,0.8830912253197132,0.8073398588739504,0.04166385903954506,0.00918375700712204,107.4739682674408
selective,6,16,0,0.8830456605678881,0.803133599793207,0.04317079856991768,,73.37059903144836
selective,6,16,1,0.9752178435596501,0.9420304958560235,0.04093143716454506,0.0087093161419034,120.19499254226685
selective,6,16,2,0.8979623095087617,0.8204421986592936,0.04166385903954506,0.0054342420771718025,114.62174081802368
selective,6,24,0,0.9839137249501383,0.9498483573115009,0.04317079856991768,,107.26603269577026
selective,6,24,1,0.9933092287822615,0.9743159765558993,0.04093143716454506,0.004652608651667833,168.07273197174072
selective,6,24,2,0.9952748766100481,0.981495025781618,0.04166385903954506,0.005732160527259111,181.38800358772278
selective,6,32,0,0.9931640222865901,0.9728528950758931,0.04317079856991768,,133.3625590801239
selective,6,32,1,0.9979392414611249,0.9882254535136228,0.04093143716454506,0.005086391698569059,178.90694332122803
selective,6,32,2,0.9964941955537292,0.9821888706897587,0.04166385903954506,0.004300779663026333,192.18933725357056
selective,6,48,0,0.9990219463867596,0.9920998369110523,0.04317079856991768,,166.6849970817566
selective,6,48,1,0.9992623555006795,0.993121122420891,0.04093143716454506,0.005484187975525856,215.08646321296692
selective,6,48,2,0.9994679973885341,0.9941625043666952,0.04166385903954506,0.008143755607306957,253.15377926826477
selective,6,64,0,0.9994342395730742,0.9940736543377411,0.04317079856991768,,185.87162590026855
selective,6,64,1,0.9997602370572731,0.9967238602442565,0.04093143716454506,0.013256959617137909,271.1584858894348
selective,6,64,2,0.9997405698710143,0.9962576846668185,0.04166385903954506,0.006165719591081142,276.2927167415619
selective,8,2,0,0.5475463895375767,0.5290445013168074,0.0420968197286129,,59.39588117599487
selective,8,2,1,0.5714922700423819,0.5484418587237564,0.0423409603536129,0.08723555505275726,94.3392322063446
selective,8,2,2,0.5469533182792606,0.5325979444323189,0.0414515919983387,0.15022128820419312,93.8280098438263
selective,8,4,0,0.6295454797406536,0.5909439912302334,0.0420968197286129,,62.973087549209595
selective,8,4,1,0.6043652801228967,0.5715299736497366,0.0423409603536129,0.05716048926115036,95.56575226783752
selective,8,4,2,0.6203141435861632,0.5872175387689492,0.0414515919983387,0.05370847135782242,79.70706248283386
selective,8,8,0,0.6763695878809982,0.6265508892767191,0.0420968197286129,,66.32360792160034
selective,8,8,1,0.68385396610825,0.6312401204511475,0.0423409603536129,0.02166946977376938,97.74441933631897
selective,8,8,2,0.6880192692813837,0.6327309695183385,0.0414515919983387,0.021479099988937378,106.79115343093872
selective,8,12,0,0.7342749814443358,0.6686299547318716,0.0420968197286129,,71.63626599311829
selective,8,12,1,0.732162145678714,0.6674262012025436,0.0423409603536129,0.021299423649907112,113.48267006874084
selective,8,12,2,0.8354176272160971,0.7569681308536528,0.0414515919983387,0.006534054409712553,116.22332429885864
selective,8,16,0,0.8448588988983644,0.7685721912244716,0.0420968197286129,,74.59667134284973
selective,8,16,1,0.9583083150927048,0.9135139658556551,0.0423409603536129,0.006503145210444927,145.39317512512207
selective,8,16,2,0.8563525980352812,0.7771489699954519,0.0414515919983387,0.01005273126065731,116.21831703186035
selective,8,24,0,0.9632779483898389,0.9104646480094949,0.0420968197286129,,85.98168587684631
selective,8,24,1,0.9782214484113103,0.9412146968687718,0.0423409603536129,0.005866389721632004,136.7590048313141
selective,8,24,2,0.9775955067054842,0.9435168138019003,0.0414515919983387,0.0042687696404755116,149.1757709980011
selective,8,32,0,0.9842329342564635,0.9535589771481396,0.0420968197286129,,95.05658841133118
selective,8,32,1,0.9960471492300417,0.9814556150636773,0.0423409603536129,0.004039843566715717,167.6352984905243
selective,8,32,2,0.9949474637549578,0.9778236927240676,0.0414515919983387,0.0036446864251047373,152.13366985321045
selective,8,48,0,0.9952907884871474,0.9775078992605034,0.0420968197286129,,152.65204739570618
selective,8,48,1,0.994023570430106,0.9711554972740755,0.0423409603536129,0.004794945474714041,175.9017562866211
selective,8,48,2,0.9970881503928173,0.9827442780733265,0.0414515919983387,0.008084789849817753,197.21096992492676
selective,8,64,0,0.9987550981885358,0.9905694692242941,0.0420968197286129,,164.95005989074707
selective,8,64,1,0.9984321625461705,0.9882818185821737,0.0423409603536129,0.007187638431787491,227.64184522628784
selective,8,64,2,0.998958085219434,0.9911253957790209,0.0414515919983387,0.0041979411616921425,244.46959567070007
selective,10,2,0,0.5599621787497008,0.5373268323885483,0.04213686287403107,,58.052651166915894
selective,10,2,1,0.5698925964541628,0.5471258532901098,0.0409613698720932,0.07474233955144882,89.57555294036865
selective,10,2,2,0.5362324280661058,0.5257625314502127,0.04189272224903107,0.0938153862953186,89.87052750587463
selective,10,4,0,0.6163728666977066,0.5737684139100327,0.04213686287403107,,62.20375990867615
selective,10,4,1,0.5904791328892014,0.5626949425183145,0.0409613698720932,0.07783447951078415,91.7408926486969
selective,10,4,2,0.6060473744892595,0.571743614135541,0.04189272224903107,0.034741126000881195,99.12207293510437
selective,10,8,0,0.6470014329380303,0.601629967009365,0.04213686287403107,,63.764241456985474
selective,10,8,1,0.6749600498155042,0.6238882955002828,0.0409613698720932,0.022533554583787918,95.71290183067322
selective,10,8,2,0.6724045002260882,0.6231703062712273,0.04189272224903107,0.016349663957953453,96.18518853187561
selective,10,12,0,0.7151606204903656,0.6549748166246092,0.04213686287403107,,69.67015027999878
selective,10,12,1,0.7182593416662494,0.6597288403471617,0.0409613698720932,0.018167942762374878,111.70314812660217
selective,10,12,2,0.7884590716436147,0.7164747983852056,0.04189272224903107,0.04947081208229065,108.02648544311523
selective,10,16,0,0.7757966362419879,0.7013568749828825,0.04213686287403107,,73.88300895690918
selective,10,16,1,0.9527485693631735,0.9036364210812095,0.0409613698720932,0.011142493225634098,115.23314237594604
selective,10,16,2,0.8248225945255283,0.7476308022304633,0.04189272224903107,0.010468747466802597,122.31786441802979
selective,10,24,0,0.8573450937592324,0.7743731908995308,0.04213686287403107,,82.66613698005676
selective,10,24,1,0.9629965217145888,0.9135298221794799,0.0409613698720932,0.004316519945859909,144.51575565338135
selective,10,24,2,0.9601642402899947,0.9102734661426318,0.04189272224903107,0.004778752103447914,138.03883409500122
selective,10,32,0,0.9688472716889076,0.9209696511115155,0.04213686287403107,,96.76223492622375
selective,10,32,1,0.9917932212001619,0.969561031464665,0.0409613698720932,0.0038678699638694525,142.36705446243286
selective,10,32,2,0.971426347386805,0.9243486132953938,0.04189272224903107,0.004089672118425369,143.26878952980042
selective,10,48,0,0.9858942711487603,0.9500311763688716,0.04213686287403107,,125.10510778427124
selective,10,48,1,0.9892424244505578,0.9581234629601254,0.0409613698720932,0.00421563908457756,171.92418503761292
selective,10,48,2,0.9942449751694536,0.9746585861119526,0.04189272224903107,0.009705512784421444,169.05193495750427
selective,10,64,0,0.9948960495995569,0.9749857954062036,0.04213686287403107,,142.59917902946472
selective,10,64,1,0.9955514211917283,0.9744759000764391,0.0409613698720932,0.009466706775128841,196.75172233581543
selective,10,64,2,0.9979137477858455,0.9865447489802505,0.04189272224903107,0.004887796007096767,221.95114016532898
selective,12,2,0,0.5443900047272537,0.5339131643664604,0.042799729853868484,,56.57345652580261
selective,12,2,1,0.5537195811923723,0.5360708682711227,0.042161207646131516,0.09964592009782791,75.48835730552673
selective,12,2,2,0.5410666725134686,0.5265767876199572,0.04095928370952606,0.15747150778770447,91.01684808731079
selective,12,4,0,0.5780646799987716,0.5546536705742319,0.042799729853868484,,60.60801434516907
selective,12,4,1,0.5863364908837407,0.5571573675280991,0.042161207646131516,0.04297812655568123,101.06465530395508
selective,12,4,2,0.5794244337977941,0.5546518631244636,0.04095928370952606,0.05141822248697281,90.54723286628723
selective,12,8,0,0.6586732300461118,0.6103981279830668,0.042799729853868484,,63.374754667282104
selective,12,8,1,0.6382920333041242,0.5971183951928764,0.042161207646131516,0.026061687618494034,101.51503658294678
selective,12,8,2,0.6449302804336118,0.6012999958240977,0.04095928370952606,0.02568228915333748,99.36034297943115
selective,12,12,0,0.6941134585321377,0.6358414450115601,0.042799729853868484,,70.68569111824036
selective,12,12,1,0.6961679860134871,0.639995649410902,0.042161207646131516,0.018390389159321785,107.42256498336792
selective,12,12,2,0.7103584832099323,0.6495366346628784,0.04095928370952606,0.022403135895729065,108.19009518623352
selective,12,16,0,0.7724432012641088,0.6998869435569036,0.042799729853868484,,72.85191702842712
selective,12,16,1,0.8118736257577233,0.7356083665457122,0.042161207646131516,0.016242586076259613,113.30113959312439
selective,12,16,2,0.7940713513825869,0.7182641863261565,0.04095928370952606,0.01377363596111536,118.24096655845642
selective,12,24,0,0.8369659750076859,0.7568595218780266,0.042799729853868484,,82.2341902256012
selective,12,24,1,0.8317823524682836,0.7517215656164511,0.042161207646131516,0.008953085169196129,126.72698664665222
selective,12,24,2,0.9378811571427946,0.8773363425867503,0.04095928370952606,0.005979015026241541,126.2723000049591
selective,12,32,0,0.9540422324004927,0.897465604948197,0.042799729853868484,,98.0376365184784
selective,12,32,1,0.9703428751538131,0.9262146726422966,0.042161207646131516,0.00374436704441905,161.2152910232544
selective,12,32,2,0.9538310635360526,0.8964137380738866,0.04095928370952606,0.015771735459566116,139.35753750801086
selective,12,48,0,0.9619710811838229,0.904837111108783,0.042799729853868484,,112.19366407394409
